geoName,에어컨_2021,에어컨_2022,에어컨_2023,에어컨_2024,에어컨_2025,선풍기_2021,선풍기_2022,선풍기_2023,선풍기_2024,선풍기_2025,전기장판_2021,전기장판_2022,전기장판_2023,전기장판_2024,전기장판_2025
강원도,71,73,66,61,74,90,74,64,66,84,85,94,97,81,85
경기도,94,92,91,92,100,94,91,93,94,91,64,73,75,80,82
경상남도,72,92,76,82,93,95,89,82,79,95,100,95,82,90,100
경상북도,62,75,70,72,88,86,96,80,72,94,85,88,90,70,88
광주광역시,74,77,67,69,84,86,86,77,70,80,79,77,75,62,66
대구광역시,68,75,74,79,91,98,100,90,83,84,99,90,82,78,89
대전광역시,78,85,90,96,91,96,90,91,96,89,87,74,92,81,88
부산광역시,80,89,87,95,97,93,87,81,81,78,87,91,100,93,93
서울특별시,100,95,95,100,100,100,94,100,100,100,74,71,80,76,75
울산광역시,73,82,78,79,84,92,84,89,87,83,44,80,79,100,84
인천광역시,93,100,100,98,93,96,87,91,85,83,74,84,92,83,98
전라남도,73,78,71,72,80,88,83,77,72,79,73,98,74,69,84
전라북도,67,69,62,63,78,86,82,78,67,72,70,67,83,61,72
제주특별자치도,72,84,75,75,78,83,70,67,68,64,81,87,87,51,64
충청남도,74,76,85,92,88,86,75,79,73,79,78,69,83,78,87
충청북도,74,76,72,70,87,82,76,80,71,75,80,100,79,94,87
