"상품군별(1)","상품군별(2)",판매매체별(1),2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4,2024.2/4,2024.3/4,2024.4/4,2025.1/4,2025.2/4,2025.3/4,2025.4/4,2026.1/4 p)
"합계","소계",계,51746671,53065098,54246343,57117025,56827971,59162276,60797637,65418896,64464799,65674523,64314803,67971504,66109716,66844392,69960023,72030025,72175475
"합계","소계",인터넷쇼핑,12279741,13189284,13184364,14425360,14010718,14892815,15215322,16222214,15752272,16035736,14711216,15835907,14962592,15038300,15593956,16324594,16576315
"합계","소계",모바일쇼핑,39466930,39875813,41061980,42691667,42817254,44269461,45582315,49196683,48712526,49638787,49603587,52135597,51147125,51806092,54366067,55705432,55599160
"컴퓨터 및 주변기기","소계",계,2696441,2089495,2109917,2235523,2541908,2026185,1999363,2140297,2593737,2072235,1808368,2011698,2403760,1875366,2022071,2225527,2763202
"컴퓨터 및 주변기기","소계",인터넷쇼핑,1305756,1050993,1048687,1153930,1236022,1016110,994763,1081252,1256416,1045130,851793,949262,1093166,837994,882183,997492,1185151
"컴퓨터 및 주변기기","소계",모바일쇼핑,1390685,1038505,1061231,1081593,1305886,1010075,1004600,1059045,1337322,1027105,956577,1062436,1310594,1037373,1139888,1228036,1578050
"가전·전자·통신기기","소계",계,5110953,4954791,5185264,5684526,5054574,5122501,5289221,6230377,5482387,5534174,5776132,5649132,5465235,5487916,6178631,5890528,5809662
"가전·전자·통신기기","소계",인터넷쇼핑,1742392,1684406,1613638,1813322,1563295,1579233,1601115,1817021,1558562,1631521,1519657,1471063,1299810,1264881,1386011,1379817,1387888
"가전·전자·통신기기","소계",모바일쇼핑,3368561,3270385,3571625,3871203,3491278,3543268,3688106,4413356,3923824,3902651,4256473,4178069,4165424,4223034,4792618,4510711,4421774
"가전·전자·통신기기","가전·전자",계,3770988,3876647,3719263,3835295,3437344,3976264,3942071,4247932,3855603,4355808,4055102,4113750,3714602,4219350,4305310,4102783,3728304
"가전·전자·통신기기","가전·전자",인터넷쇼핑,1368085,1396807,1241505,1287243,1160873,1287394,1245574,1273792,1154398,1318390,1070587,1044358,880442,975933,908420,889098,820568
"가전·전자·통신기기","가전·전자",모바일쇼핑,2402903,2479840,2477757,2548051,2276472,2688871,2696498,2974141,2701204,3037418,2984515,3069392,2834159,3243416,3396888,3213685,2907736
"가전·전자·통신기기","통신기기",계,1339965,1078144,1466001,1849231,1617228,1146236,1347149,1982445,1626784,1178366,1721029,1535382,1750633,1268566,1873321,1787745,2081358
"가전·전자·통신기기","통신기기",인터넷쇼핑,374307,287599,372133,526079,402422,291839,355541,543230,404164,313133,449071,426705,419368,288948,477591,490719,567320
"가전·전자·통신기기","통신기기",모바일쇼핑,965658,790545,1093868,1323152,1214806,854397,991608,1439215,1222620,865233,1271958,1108677,1331265,979618,1395730,1297026,1514038
"서적","소계",계,759334,587896,633220,589951,700992,553390,612920,600496,721666,574072,654068,656471,746904,565492,672844,609681,739636
"서적","소계",인터넷쇼핑,373257,307203,324028,305365,344813,284407,302028,290763,333998,282071,310929,303464,307087,235664,275540,245296,305677
"서적","소계",모바일쇼핑,386076,280691,309192,284586,356179,268983,310892,309733,387667,292001,343139,353007,439815,329828,397304,364384,433959
"사무·문구","소계",계,429852,405362,406424,539879,494420,450749,424583,569943,527528,474796,458004,593258,543793,491119,504699,613962,566077
"사무·문구","소계",인터넷쇼핑,158087,152779,152752,213081,185625,176701,170844,226133,196486,179292,173213,225446,187179,171591,169781,210387,184811
"사무·문구","소계",모바일쇼핑,271765,252582,253671,326798,308796,274048,253740,343810,331042,295506,284789,367812,356614,319527,334918,403575,381266
"의복","소계",계,4314830,5156528,4451727,6153873,4933232,5456246,4644121,6675089,5256309,5807122,4732631,7135753,5120306,5792652,4901258,7023797,5350888
"의복","소계",인터넷쇼핑,954700,1186255,977492,1502238,1160698,1353971,1181946,1644449,1298621,1405221,1195601,1853871,1298093,1474642,1208931,1920897,1516225
"의복","소계",모바일쇼핑,3360130,3970274,3474236,4651635,3772534,4102274,3462175,5030640,3957688,4401901,3537031,5281881,3822212,4318010,3692326,5102900,3834663
"신발","소계",계,844951,1047796,899866,1080357,958183,1056453,880279,1075152,891214,1025294,873937,1057908,829583,1030731,847330,974847,839367
"신발","소계",인터넷쇼핑,258097,320968,274768,316218,323180,326603,269889,307566,277322,293474,253050,270944,225566,271171,213966,253540,209438
"신발","소계",모바일쇼핑,586855,726828,625098,764140,635003,729850,610390,767585,613892,731820,620887,786964,604017,759560,633363,721306,629929
"가방","소계",계,699465,688152,689757,678549,776925,759382,749570,702213,754517,691564,656459,651107,646754,598649,587789,608718,664930
"가방","소계",인터넷쇼핑,164133,175095,164469,181086,245535,240762,226347,217835,238322,216478,198564,201684,204707,196639,182884,204700,247897
"가방","소계",모바일쇼핑,535332,513056,525288,497463,531391,518620,523223,484377,516195,475087,457895,449422,442048,402010,404906,404018,417033
"패션용품 및 액세서리","소계",계,912039,936308,919486,1031995,940318,979277,956259,1038163,958421,1043957,990950,1095433,1035359,1052520,1093817,1218207,1236970
"패션용품 및 액세서리","소계",인터넷쇼핑,187764,194225,190767,241858,229396,240873,232192,233271,213684,232182,212700,235171,207408,221451,217054,241577,272050
"패션용품 및 액세서리","소계",모바일쇼핑,724275,742083,728720,790137,710922,738404,724066,804893,744737,811773,778250,860262,827951,831068,876763,976630,964920
"스포츠·레저용품","소계",계,1237130,1647852,1543461,1651309,1224355,1588047,1446996,1593239,1229061,1599039,1367502,1529786,1166939,1497837,1451942,1498072,1192289
"스포츠·레저용품","소계",인터넷쇼핑,345620,442196,401122,480408,353499,444250,400747,464657,333853,430287,365405,446529,350924,410991,384252,419914,335788
"스포츠·레저용품","소계",모바일쇼핑,891511,1205657,1142339,1170902,870856,1143797,1046249,1128582,895208,1168752,1002097,1083257,816014,1086846,1067691,1078158,856501
"화장품","소계",계,2837956,2836756,2634909,2754342,2819611,2989218,2957626,3212600,3232388,3247306,3116231,3430046,3456014,3454453,3385910,3552039,3794122
"화장품","소계",인터넷쇼핑,822994,808195,662209,663446,609581,757894,706603,708999,655187,663090,602251,713704,729268,734408,583177,650268,692517
"화장품","소계",모바일쇼핑,2014961,2028561,1972700,2090896,2210029,2231323,2251024,2503600,2577201,2584217,2513980,2716341,2726747,2720045,2802734,2901771,3101604
"아동·유아용품","소계",계,1224148,1328307,1223856,1420447,1279646,1367925,1234402,1443966,1289070,1362172,1209439,1431777,1296400,1384346,1329757,1470021,1403959
"아동·유아용품","소계",인터넷쇼핑,204763,227203,200649,282241,239709,269136,233590,288362,224347,252007,222797,282778,234151,254386,216360,267835,235746
"아동·유아용품","소계",모바일쇼핑,1019386,1101104,1023208,1138205,1039937,1098790,1000812,1155603,1064724,1110165,986643,1148998,1062249,1129961,1113396,1202185,1168214
"음·식료품","소계",계,6566267,6423697,6917482,6753869,7198367,7348720,7953848,7726139,8443520,8500686,9008057,8853131,9179074,9221341,10102173,9538522,10098638
"음·식료품","소계",인터넷쇼핑,1555477,1539971,1640669,1786790,1880560,1875122,1993123,1884697,1984560,1925922,2054644,1974639,1901078,1820703,1866013,1816388,1934188
"음·식료품","소계",모바일쇼핑,5010790,4883724,5276813,4967077,5317806,5473599,5960726,5841443,6458960,6574764,6953413,6878492,7277996,7400638,8236160,7722134,8164450
"농축수산물","소계",계,2518479,2183972,2442915,2334098,2643966,2464136,2987863,2848057,3375853,3055176,3300895,3226444,3739014,3413414,3851208,3608871,4073277
"농축수산물","소계",인터넷쇼핑,582854,540502,593902,618170,686392,627980,768504,714114,818527,745537,792025,755037,846935,740363,805181,764670,853233
"농축수산물","소계",모바일쇼핑,1935625,1643470,1849013,1715928,1957574,1836156,2219359,2133943,2557326,2309638,2508870,2471406,2892078,2673051,3046026,2844201,3220045
"생활용품","소계",계,4144542,4087549,4166846,4230770,4075088,4330444,4419556,4681694,4614822,4798694,4856978,4912063,4727043,5030467,5224692,5087070,5081181
"생활용품","소계",인터넷쇼핑,961021,954605,913999,1100560,995219,1056707,1036556,1120950,1053232,1085710,1082143,1154992,1034392,1094530,1064070,1118963,1083677
"생활용품","소계",모바일쇼핑,3183522,3132944,3252847,3130209,3079868,3273737,3383000,3560745,3561589,3712983,3774836,3757071,3692649,3935937,4160622,3968107,3997504
"자동차 및 자동차용품","소계",계,919704,1131339,1272895,936183,900101,1176525,1275874,1453960,1368553,1691298,1390045,1369797,1250140,1866226,2489882,1996978,2237474
"자동차 및 자동차용품","소계",인터넷쇼핑,549626,699144,877687,486106,462366,687786,796320,915672,857839,1131947,848589,830629,757890,1343476,1913036,1434165,1693272
"자동차 및 자동차용품","소계",모바일쇼핑,370077,432197,395208,450077,437735,488740,479554,538287,510714,559350,541457,539168,492250,522750,576845,562814,544203
"가구","소계",계,1393451,1267383,1244481,1289671,1337430,1290002,1302988,1421644,1543060,1430693,1350257,1470321,1513071,1391469,1386242,1429464,1523664
"가구","소계",인터넷쇼핑,353877,329202,313426,346264,343297,338371,335715,362248,373078,340125,315937,359414,352090,321002,308723,332073,336397
"가구","소계",모바일쇼핑,1039575,938180,931054,943408,994133,951631,967274,1059398,1169981,1090567,1034320,1110907,1160981,1070466,1077520,1097391,1187266
"애완용품","소계",계,533927,554183,581639,603592,611437,636485,656404,684936,673204,688488,700098,730785,708219,725704,761223,762262,755648
"애완용품","소계",인터넷쇼핑,91979,90087,92159,118793,121556,126059,125865,131523,126819,127986,130602,141250,126387,127786,120999,129121,127482
"애완용품","소계",모바일쇼핑,441948,464093,489479,484799,489882,510425,530539,553412,546384,560501,569496,589534,581832,597918,640224,633141,628167
"여행 및 교통서비스","소계",계,2636720,4322014,4890069,4967672,6485160,7225717,7918107,7763041,8022853,8146967,8447870,8271426,8397802,8303826,8919785,9069431,9418391
"여행 및 교통서비스","소계",인터넷쇼핑,650708,1331907,1451778,1444684,1744719,1975757,2203341,2118629,2232426,2217814,2269648,2268978,2504465,2441881,2617887,2792600,2997396
"여행 및 교통서비스","소계",모바일쇼핑,1986012,2990107,3438291,3522987,4740441,5249959,5714767,5644412,5790426,5929152,6178222,6002447,5893336,5861944,6301898,6276832,6420996
"문화 및 레저서비스","소계",계,323786,732205,726633,667515,599785,823542,796944,786626,710367,844765,905627,750008,672927,817935,958637,916739,833111
"문화 및 레저서비스","소계",인터넷쇼핑,135743,298534,280756,274531,227565,364458,333981,330145,298346,380919,402189,305278,275712,340703,350812,311490,285067
"문화 및 레저서비스","소계",모바일쇼핑,188044,433671,445875,392983,372220,459085,462962,456479,412021,463846,503437,444730,397215,477232,607826,605249,548045
"이쿠폰서비스","소계",계,1793541,1695764,1900878,2145230,2246916,2367174,2406771,2721420,2780195,2807916,1479049,1584154,1581478,1419404,1514054,1766552,1724821
"이쿠폰서비스","소계",인터넷쇼핑,235300,231929,301791,381564,469125,539177,570010,618541,777639,794220,184160,220705,202437,136626,152871,161984,150045
"이쿠폰서비스","소계",모바일쇼핑,1558241,1463835,1599087,1763666,1777791,1827997,1836761,2102879,2002556,2013696,1294889,1363449,1379041,1282778,1361183,1604568,1574776
"음식서비스","소계",계,8425454,7532251,7841247,7837980,7697848,7790357,8392116,8491891,8694761,8894587,9831829,9780217,9928803,10148040,10592008,10920062,10853503
"음식서비스","소계",인터넷쇼핑,150280,128257,122347,115152,112497,111019,111331,109891,102958,94386,101825,98396,91106,91684,114705,108681,98404
"음식서비스","소계",모바일쇼핑,8275174,7403994,7718900,7722828,7585351,7679338,8280785,8382000,8591803,8800201,9730004,9681821,9837697,10056356,10477303,10811381,10755099
"기타서비스","소계",계,550166,597725,687429,637596,451607,499690,614601,601739,593690,637505,703662,1007182,1007892,528462,489393,469836,430441
"기타서비스","소계",인터넷쇼핑,244722,247825,336925,312879,215134,224103,328083,308378,287729,304833,388794,521713,515065,267267,284170,252069,218320
"기타서비스","소계",모바일쇼핑,305445,349900,350503,324717,236472,275586,286517,293361,305960,332672,314868,485470,492827,261196,205225,217766,212121
"기타","소계",계,873533,857771,875946,892102,856106,860112,877224,956217,707627,746022,696714,773614,693212,747021,694678,778839,784222
"기타","소계",인터넷쇼핑,250593,247805,248343,286675,260937,276335,292433,327119,252322,255581,234699,250960,217676,238459,275352,310662,225648
"기타","소계",모바일쇼핑,622941,609966,627603,605427,595167,583774,584790,629099,455304,490439,462015,522652,475535,508562,419327,468176,558575
